"prior_set","rep","param","bias","covered"
"wide2",10,"alpha",-0.1143468198375,1
"wide2",11,"beta0",0.236659886340625,1
"wide2",11,"beta1",-0.08072280376875,1
"wide2",11,"beta2",0.0410882741869563,1
"wide2",11,"beta_bm",-0.215509373889254,1
"wide2",11,"sigma_y",-0.03790234094375,1
"wide2",11,"tau0",-0.10428076358875,1
"wide2",11,"tau1",0.260009330725,1
"wide2",11,"gamma0",-1.2916274934,1
"wide2",11,"gamma1",-0.0126941831231506,1
"wide2",11,"gamma2",0.678021402391807,1
"wide2",11,"alpha",-0.42319335261875,1
"wide2",12,"beta0",0.0628079107749997,1
"wide2",12,"beta1",0.22120676979375,1
"wide2",12,"beta2",-0.359375436501807,1
"wide2",12,"beta_bm",-0.154753889582451,1
"wide2",12,"sigma_y",0.01344822774375,1
"wide2",12,"tau0",-0.219801591104375,1
"wide2",12,"tau1",0.03894225000625,1
"wide2",12,"gamma0",-0.395476802525,1
"wide2",12,"gamma1",-0.77255842336471,1
"wide2",12,"gamma2",0.564817803501844,1
"wide2",12,"alpha",-0.221077501221875,1
"wide2",13,"beta0",-0.52743556763125,0
"wide2",13,"beta1",0.316465122075,1
"wide2",13,"beta2",0.00681954544320312,1
"wide2",13,"beta_bm",0.353634651049777,1
"wide2",13,"sigma_y",-0.00760998897499987,1
"wide2",13,"tau0",-0.140972125473125,1
"wide2",13,"tau1",0.37518882831875,1
"wide2",13,"gamma0",0.728713599100001,1
"wide2",13,"gamma1",0.103177924700368,1
"wide2",13,"gamma2",0.402844300558125,1
"wide2",13,"alpha",0.391775776928125,1
"wide2",14,"beta0",0.0560029381499998,1
"wide2",14,"beta1",-0.16492167051875,1
"wide2",14,"beta2",0.0852292036110813,1
"wide2",14,"beta_bm",-0.098556020208973,1
"wide2",14,"sigma_y",0.0681716010875002,1
"wide2",14,"tau0",0.0440771059175,1
"wide2",14,"tau1",-0.0431403814625,1
"wide2",14,"gamma0",0.0743842870062501,1
"wide2",14,"gamma1",0.0682506268367181,1
"wide2",14,"gamma2",-0.407839021851875,1
"wide2",14,"alpha",-0.011817121321875,1
"wide2",15,"beta0",-0.0145524233812502,1
"wide2",15,"beta1",0.3343228836375,1
"wide2",15,"beta2",-0.264608006305488,1
"wide2",15,"beta_bm",-0.0697022926636918,1
"wide2",15,"sigma_y",0.0165236805250002,1
"wide2",15,"tau0",-0.154272831154375,1
"wide2",15,"tau1",0.0525140588499999,1
"wide2",15,"gamma0",-3.50612016349375,0
"wide2",15,"gamma1",0.627225204226009,1
"wide2",15,"gamma2",1.16413399383341,1
"wide2",15,"alpha",-0.6498646432125,1
"wide2",16,"beta0",0.421590764046875,1
"wide2",16,"beta1",-0.5883294332375,1
"wide2",16,"beta2",0.120838576068488,1
"wide2",16,"beta_bm",-0.108635618514379,1
"wide2",16,"sigma_y",0.11571740911875,0
"wide2",16,"tau0",0.0272435864737499,1
"wide2",16,"tau1",0.45066062206875,0
"wide2",16,"gamma0",2.17935448703438,1
"wide2",16,"gamma1",-0.542338986218832,1
"wide2",16,"gamma2",-0.0359329159496875,1
"wide2",16,"alpha",0.3686081030125,1
"wide2",17,"beta0",0.245565169625,1
"wide2",17,"beta1",-0.0561356338624996,1
"wide2",17,"beta2",0.0394638551247531,1
"wide2",17,"beta_bm",-0.206371285273785,1
"wide2",17,"sigma_y",-0.00778502400624981,1
"wide2",17,"tau0",-0.0453406352700001,1
"wide2",17,"tau1",-0.269956176275,1
"wide2",17,"gamma0",-1.03455405418125,1
"wide2",17,"gamma1",-0.622005107951585,1
"wide2",17,"gamma2",0.046494288653316,1
"wide2",17,"alpha",-0.566991416025,1
"wide2",18,"beta0",-0.1454008846625,1
"wide2",18,"beta1",0.25274485054375,1
"wide2",18,"beta2",-0.148690752924724,1
"wide2",18,"beta_bm",0.033727231772277,1
"wide2",18,"sigma_y",-0.0169313847249999,1
"wide2",18,"tau0",-0.0326760022825001,1
"wide2",18,"tau1",-0.0298918962124999,1
"wide2",18,"gamma0",-1.06586274043125,1
"wide2",18,"gamma1",-0.0988502625391944,1
"wide2",18,"gamma2",1.23850934978106,1
