"task_id","cell_id","model","n","informative","rep","dgm_tag","brier","cal_int","cal_slope","mean_pred","obs_rate","ndiv","ebfmi"
"c3_floor_n300_ni_r002",3,"floor",300,FALSE,2,"v2_cohort_posterior_hazard",0.103047905487366,1.52250690890022,1.905720936097,0.578243149106168,0.726666666666667,0,0.531125403517653
"c3_floor_n300_ni_r003",3,"floor",300,FALSE,3,"v2_cohort_posterior_hazard",0.0828743545921841,1.66940018623877,2.24759802579884,0.587893632921769,0.716666666666667,0,0.612021967804289
"c3_floor_n300_ni_r004",3,"floor",300,FALSE,4,"v2_cohort_posterior_hazard",0.098100472934198,1.60318389482028,2.07744744710922,0.612657544287999,0.76,0,0.533647067380109
"c3_floor_n300_ni_r005",3,"floor",300,FALSE,5,"v2_cohort_posterior_hazard",0.104457637152159,1.61773848973186,2.01135373771726,0.604977404211023,0.763333333333333,0,0.598586257184709
"c3_floor_n300_ni_r006",3,"floor",300,FALSE,6,"v2_cohort_posterior_hazard",0.111276695896339,1.60334468732389,1.83434961729308,0.609453323069118,0.776666666666667,0,0.636700283830612
"c3_floor_n300_ni_r007",3,"floor",300,FALSE,7,"v2_cohort_posterior_hazard",0.104995375961397,1.38578368758037,1.53223390742029,0.584499364520706,0.723333333333333,0,0.573207068010175
"c3_floor_n300_ni_r008",3,"floor",300,FALSE,8,"v2_cohort_posterior_hazard",0.110282388457948,1.42846050854504,1.6219350552088,0.604987612201756,0.76,0,0.625872408650132
"c3_floor_n300_ni_r009",3,"floor",300,FALSE,9,"v2_cohort_posterior_hazard",0.132819505253849,1.22862988446411,1.25627855267134,0.593960653895301,0.746666666666667,0,0.529779316987999
"c3_floor_n300_ni_r010",3,"floor",300,FALSE,10,"v2_cohort_posterior_hazard",0.0982814740858916,1.59915632228874,1.94324350126661,0.561835127990884,0.703333333333333,0,0.583734497118896
"c3_floor_n300_ni_r011",3,"floor",300,FALSE,11,"v2_cohort_posterior_hazard",0.113055395214773,1.31991536561897,1.54094472294526,0.60072576187885,0.75,0,0.492269821877708
"c3_floor_n300_ni_r012",3,"floor",300,FALSE,12,"v2_cohort_posterior_hazard",0.103547539366708,1.31882277199405,1.50892728059289,0.603849809565911,0.743333333333333,0,0.599361269940264
"c3_floor_n300_ni_r013",3,"floor",300,FALSE,13,"v2_cohort_posterior_hazard",0.104120262499598,1.76524415855693,2.19868580751494,0.591198521294289,0.75,0,0.527369286936567
"c3_floor_n300_ni_r014",3,"floor",300,FALSE,14,"v2_cohort_posterior_hazard",0.130181054551296,1.38394284248054,1.4500282901325,0.59296341470255,0.756666666666667,0,0.525770381964
"c3_floor_n300_ni_r015",3,"floor",300,FALSE,15,"v2_cohort_posterior_hazard",0.0989174616645171,1.43019611380043,2.03500212549215,0.594188648062871,0.73,0,0.581264848537816
"c3_floor_n300_ni_r016",3,"floor",300,FALSE,16,"v2_cohort_posterior_hazard",0.120028614715838,1.55060033574962,1.78363930907544,0.530578299983991,0.68,0,0.658841260971809
"c3_floor_n300_ni_r017",3,"floor",300,FALSE,17,"v2_cohort_posterior_hazard",0.111860638676258,1.12675675759702,1.47560061699909,0.547614963954414,0.673333333333333,0,0.562397078250124
"c3_floor_n300_ni_r018",3,"floor",300,FALSE,18,"v2_cohort_posterior_hazard",0.110724980537247,1.36825069183837,1.56204994364214,0.581608885502148,0.723333333333333,0,0.661645624128244
"c3_floor_n300_ni_r019",3,"floor",300,FALSE,19,"v2_cohort_posterior_hazard",0.0925471064724702,1.50722162692874,1.79056400492056,0.570108673501067,0.7,0,0.63284645911129
"c3_floor_n300_ni_r020",3,"floor",300,FALSE,20,"v2_cohort_posterior_hazard",0.111909111209313,1.50196877320507,1.78632293366317,0.598578293975641,0.75,0,0.582565130601909
"c3_floor_n300_ni_r021",3,"floor",300,FALSE,21,"v2_cohort_posterior_hazard",0.114047848048391,1.40694341380351,1.63278001882903,0.598925557726963,0.75,0,0.561312023338907
"c3_floor_n300_ni_r022",3,"floor",300,FALSE,22,"v2_cohort_posterior_hazard",0.100336018922172,1.67345413104113,2.03438313882624,0.627293022831861,0.773333333333333,0,0.535798134675718
"c3_floor_n300_ni_r023",3,"floor",300,FALSE,23,"v2_cohort_posterior_hazard",0.217054989158934,0.725773769353537,0.286563203169651,0.682403799215707,0.73,0,0.000103576167678187
"c3_floor_n300_ni_r024",3,"floor",300,FALSE,24,"v2_cohort_posterior_hazard",0.113425882041301,1.44212432059237,1.56416355681813,0.604524537657997,0.756666666666667,0,0.495189677511207
"c3_floor_n300_ni_r025",3,"floor",300,FALSE,25,"v2_cohort_posterior_hazard",0.11098051872035,1.29246959995874,1.48020546702523,0.580900609931729,0.716666666666667,0,0.546884936181995
"c3_floor_n300_ni_r026",3,"floor",300,FALSE,26,"v2_cohort_posterior_hazard",0.0906708444658907,1.49155510660497,1.99369918945157,0.556226532748891,0.686666666666667,0,0.570256752545216
"c3_floor_n300_ni_r027",3,"floor",300,FALSE,27,"v2_cohort_posterior_hazard",0.0836006824812399,1.39689764856822,2.38612655135774,0.598934239403276,0.72,0,0.588311864165347
"c3_floor_n300_ni_r028",3,"floor",300,FALSE,28,"v2_cohort_posterior_hazard",0.113865185543084,1.57495980745165,1.72715435285338,0.581496805831972,0.743333333333333,0,0.623863561456517
