scen,n,informative,est,rep,conv,brier,cal_int,cal_slope,mean_pred,obs_rate,est_b0,est_b1,est_b2,est_log_sigma,est_log_tau0,est_log_tau1,est_g0,est_g1,est_g2,est_alpha,se_b0,se_b1,se_b2,se_log_sigma,se_log_tau0,se_log_tau1,se_g0,se_g1,se_g2,se_alpha,est_log_sthr,se_log_sthr
ni_n87,87,0,exact,7,1,0.2108890864518456,1.8426957392429535,0.5951843861054081,0.5773172364929187,0.8505747126436781,-2.167475501396309,-2.3363455454863105,0.6502388791849145,0.18942667706612037,-0.11830180355395636,-0.1684977755278194,-4.168258595417201,-0.6573771808690079,-1.0144451069596399,-1.6202339365280958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,8,1,0.16563853098448977,2.182154328433275,0.740196701468486,0.6441589541153707,0.896551724137931,-2.6178000353193065,-2.442445854188378,0.6159331278620283,0.17324502433900082,0.32227669211134413,-0.049480086322871195,-3.8026226503402913,-0.5290938105667903,-1.223898095717634,-1.577853887267441,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,9,1,0.2028106517048178,1.9241484681922496,0.5407918343409122,0.6306298365786859,0.8850574712643678,-2.6823522768667045,-2.7969243117471705,0.8834489635028709,0.12732095797993498,0.4373530297386798,-0.0502583762890783,-4.329245849201607,-0.9429173160830969,-1.1621058225628533,-1.718342138716564,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,10,1,0.16927674064320736,1.7794755564998639,1.167406545317901,0.5916641933548352,0.8160919540229885,-2.5216000131273075,-2.141567466254698,0.6388065618958545,0.12748310865238657,0.0038332854765751076,0.15061603327634773,-5.577193036660089,0.05403537872381002,-1.3526807280574882,-1.9980925429255247,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,11,1,0.2372433531626658,1.2296377941579175,0.4794326301600841,0.5381440546126746,0.7586206896551724,-2.559163953640001,-2.6632540115441437,0.7597363161495868,0.24685378312978395,0.5289336689581354,0.14297596584794375,-4.416368393645635,-0.5642399238100144,-1.4065991578997397,-1.6355144791056464,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,12,1,0.18971238251140585,3.315964229652919,1.513606008525501,0.5843313178267648,0.896551724137931,-2.580791505070739,-2.631164002081796,0.7398207580500628,0.15872555989346152,0.45256718323388123,0.1379687753606717,-3.709525942822357,-0.2961080122863768,-2.467469489588542,-1.5578546868255148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,13,1,0.192603597627638,2.270015752811482,0.7449320211105757,0.6066185132144244,0.8735632183908046,-2.8022287550174556,-2.2576857326022406,0.4591407123670875,0.06909706155627518,0.19163591260721763,-0.08243095028465568,-4.4378250172269675,-0.4081581596940052,-1.493317121050597,-1.735496623872303,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,14,1,0.202647893428004,1.4203650629406495,0.7828973924626003,0.5598618005636634,0.7816091954022989,-2.696477297010514,-2.8596847872460396,0.7114804947144965,0.0939140853952784,0.31032348764597617,0.3978576130280712,-4.054029852125785,-0.7345513055397863,-1.4901335283068673,-1.5915035682676515,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,15,1,0.21401077960621356,1.9848122036135518,0.9828429608599478,0.5500516854952218,0.8390804597701149,-2.896347235010606,-1.8555238573874038,0.3956279822273328,0.18588523367156443,0.2741393515385812,-0.15296494754986575,-4.526063879410166,-0.20602599974324506,-2.0330056807399894,-1.6903380020711067,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,16,1,0.20340812116067425,2.117041285187895,0.7517577495988571,0.5911974969212446,0.8735632183908046,-2.3199543115499144,-2.4744413151591735,0.6894793825459635,0.16285700596483396,-0.11751623933807252,0.13203479641448307,-3.9081652274746084,-0.700884793512705,-1.7305008335874452,-1.6310454969017343,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
